"n","x0","eta","c","r","Weight","Power","MCSE","Power_MCSE"
50,0.25,0.05,0.5,1,"Uniform",0.05,0.00308220700148449,"0.0500 (0.0031)"
50,0.25,0.05,0.5,1,"Central",0.0514,0.00312275647465504,"0.0514 (0.0031)"
50,0.25,0.05,0.5,1,"Tail",0.0508,0.00310545842026584,"0.0508 (0.0031)"
50,0.25,0.05,0.5,2,"Uniform",0.0554,0.00323514574633045,"0.0554 (0.0032)"
50,0.25,0.05,0.5,2,"Central",0.044,0.00290048271844533,"0.0440 (0.0029)"
50,0.25,0.05,0.5,2,"Tail",0.0502,0.00308804015517933,"0.0502 (0.0031)"
50,0.25,0.05,0.5,3,"Uniform",0.0506,0.00309966578843591,"0.0506 (0.0031)"
50,0.25,0.05,0.5,3,"Central",0.0538,0.00319078548323136,"0.0538 (0.0032)"
50,0.25,0.05,0.5,3,"Tail",0.0462,0.00296868859936505,"0.0462 (0.0030)"
50,0.25,0.05,0.5,5,"Uniform",0.0514,0.00312275647465504,"0.0514 (0.0031)"
50,0.25,0.05,0.5,5,"Central",0.05,0.00308220700148449,"0.0500 (0.0031)"
50,0.25,0.05,0.5,5,"Tail",0.0516,0.00312849612433834,"0.0516 (0.0031)"
50,0.25,0.05,0.5,8,"Uniform",0.0494,0.0030646252625729,"0.0494 (0.0031)"
50,0.25,0.05,0.5,8,"Central",0.0504,0.00309385972532693,"0.0504 (0.0031)"
50,0.25,0.05,0.5,8,"Tail",0.0448,0.00292550713552369,"0.0448 (0.0029)"
50,0.25,0.05,1,1,"Uniform",0.0502,0.00308804015517933,"0.0502 (0.0031)"
50,0.25,0.05,1,1,"Central",0.0574,0.0032895361375124,"0.0574 (0.0033)"
50,0.25,0.05,1,1,"Tail",0.0504,0.00309385972532693,"0.0504 (0.0031)"
50,0.25,0.05,1,2,"Uniform",0.0532,0.00317394895989208,"0.0532 (0.0032)"
50,0.25,0.05,1,2,"Central",0.0476,0.00301112072159188,"0.0476 (0.0030)"
50,0.25,0.05,1,2,"Tail",0.0474,0.00300510365877785,"0.0474 (0.0030)"
50,0.25,0.05,1,3,"Uniform",0.0496,0.00307049963361014,"0.0496 (0.0031)"
50,0.25,0.05,1,3,"Central",0.053,0.00316831185333767,"0.0530 (0.0032)"
50,0.25,0.05,1,3,"Tail",0.0444,0.00291302729132427,"0.0444 (0.0029)"
50,0.25,0.05,1,5,"Uniform",0.0486,0.0030409879973456,"0.0486 (0.0030)"
50,0.25,0.05,1,5,"Central",0.0482,0.00302908435009658,"0.0482 (0.0030)"
50,0.25,0.05,1,5,"Tail",0.0478,0.00301712313305241,"0.0478 (0.0030)"
50,0.25,0.05,1,8,"Uniform",0.0564,0.00326248494249399,"0.0564 (0.0033)"
