"n","k","c","r","Weight","Power","MCSE"
50,1,0.5,1,"Uniform",0,0
50,1,0.5,1,"Central",0.0504,0.00309385972532693
50,1,0.5,1,"Tail",0.0546,0.00321306209090332
50,1,0.5,2,"Uniform",0,0
50,1,0.5,2,"Central",0.0452,0.00293792307591605
50,1,0.5,2,"Tail",0.051,0.00311123769583746
50,1,0.5,3,"Uniform",0,0
50,1,0.5,3,"Central",0.05,0.00308220700148449
50,1,0.5,3,"Tail",0.046,0.00296256645495084
50,1,0.5,5,"Uniform",0,0
50,1,0.5,5,"Central",0.0452,0.00293792307591605
50,1,0.5,5,"Tail",0.043,0.00286883251515316
50,1,0.5,8,"Uniform",0,0
50,1,0.5,8,"Central",0.055,0.0032241277890307
50,1,0.5,8,"Tail",0.0448,0.00292550713552369
50,1,1,1,"Uniform",0,0
50,1,1,1,"Central",0.0542,0.00320194815698193
50,1,1,1,"Tail",0.0492,0.00305873699425106
50,1,1,2,"Uniform",0,0
50,1,1,2,"Central",0.0516,0.00312849612433834
50,1,1,2,"Tail",0.052,0.00313993630508646
50,1,1,3,"Uniform",0,0
50,1,1,3,"Central",0.0528,0.00316266216975509
50,1,1,3,"Tail",0.045,0.00293172304285381
50,1,1,5,"Uniform",0,0
50,1,1,5,"Central",0.0478,0.00301712313305241
50,1,1,5,"Tail",0.0414,0.00281730509529941
50,1,1,8,"Uniform",0,0
50,1,1,8,"Central",0.0556,0.00324063697442339
50,1,1,8,"Tail",0.046,0.00296256645495084
50,1,1.5,1,"Uniform",0,0
50,1,1.5,1,"Central",0.0512,0.0031170036894428
50,1,1.5,1,"Tail",0.05,0.00308220700148449
50,1,1.5,2,"Uniform",0,0
50,1,1.5,2,"Central",0.0448,0.00292550713552369
50,1,1.5,2,"Tail",0.056,0.00325158422926425
50,1,1.5,3,"Uniform",0,0
50,1,1.5,3,"Central",0.0508,0.00310545842026584
50,1,1.5,3,"Tail",0.0402,0.00277791144567281
50,1,1.5,5,"Uniform",0,0
50,1,1.5,5,"Central",0.0462,0.00296868859936505
50,1,1.5,5,"Tail",0.0456,0.00295027591929975
50,1,1.5,8,"Uniform",0,0
50,1,1.5,8,"Central",0.0522,0.00314563697841947
50,1,1.5,8,"Tail",0.0394,0.00275127752144345
50,1,2,1,"Uniform",0,0
50,1,2,1,"Central",0.0502,0.00308804015517933
50,1,2,1,"Tail",0.0552,0.0032296427046966
50,1,2,2,"Uniform",0,0
50,1,2,2,"Central",0.0488,0.00304691844328003
50,1,2,2,"Tail",0.0484,0.00303504332753257
50,1,2,3,"Uniform",0,0
50,1,2,3,"Central",0.048,0.00302311098043059
50,1,2,3,"Tail",0.042,0.00283675871374356
50,1,2,5,"Uniform",0,0
50,1,2,5,"Central",0.0472,0.00299907185642492
50,1,2,5,"Tail",0.0344,0.00257746542168852
50,1,2,8,"Uniform",0,0
50,1,2,8,"Central",0.0428,0.00286245209566903
50,1,2,8,"Tail",0.0384,0.00271755183943195
50,2,0.5,1,"Uniform",0,0
50,2,0.5,1,"Central",0.0516,0.00312849612433834
50,2,0.5,1,"Tail",0.0528,0.00316266216975509
50,2,0.5,2,"Uniform",0,0
50,2,0.5,2,"Central",0.0494,0.0030646252625729
50,2,0.5,2,"Tail",0.0534,0.00317957355631223
50,2,0.5,3,"Uniform",0,0
50,2,0.5,3,"Central",0.051,0.00311123769583746
50,2,0.5,3,"Tail",0.0462,0.00296868859936505
50,2,0.5,5,"Uniform",0,0
50,2,0.5,5,"Central",0.0618,0.00340531232047811
50,2,0.5,5,"Tail",0.0406,0.00279111590586991
50,2,0.5,8,"Uniform",0,0
50,2,0.5,8,"Central",0.0552,0.0032296427046966
50,2,0.5,8,"Tail",0.0508,0.00310545842026584
50,2,1,1,"Uniform",0,0
50,2,1,1,"Central",0.0534,0.00317957355631223
50,2,1,1,"Tail",0.0612,0.00338982477423244
50,2,1,2,"Uniform",0,0
50,2,1,2,"Central",0.0452,0.00293792307591605
50,2,1,2,"Tail",0.052,0.00313993630508646
50,2,1,3,"Uniform",0,0
50,2,1,3,"Central",0.0542,0.00320194815698193
50,2,1,3,"Tail",0.048,0.00302311098043059
50,2,1,5,"Uniform",0,0
50,2,1,5,"Central",0.0478,0.00301712313305241
50,2,1,5,"Tail",0.0472,0.00299907185642492
50,2,1,8,"Uniform",0,0
50,2,1,8,"Central",0.0578,0.00330027756408457
50,2,1,8,"Tail",0.0514,0.00312275647465504
50,2,1.5,1,"Uniform",0,0
50,2,1.5,1,"Central",0.0568,0.00327333957908433
50,2,1.5,1,"Tail",0.058,0.00330563155841664
50,2,1.5,2,"Uniform",0,0
50,2,1.5,2,"Central",0.051,0.00311123769583746
50,2,1.5,2,"Tail",0.0584,0.00331630637909105
50,2,1.5,3,"Uniform",0,0
50,2,1.5,3,"Central",0.0568,0.00327333957908433
50,2,1.5,3,"Tail",0.053,0.00316831185333767
50,2,1.5,5,"Uniform",0,0
50,2,1.5,5,"Central",0.053,0.00316831185333767
50,2,1.5,5,"Tail",0.0508,0.00310545842026584
50,2,1.5,8,"Uniform",0,0
50,2,1.5,8,"Central",0.0664,0.00352110891623647
50,2,1.5,8,"Tail",0.054,0.00319637294444813
50,2,2,1,"Uniform",0,0
50,2,2,1,"Central",0.0612,0.00338982477423244
50,2,2,1,"Tail",0.0526,0.00315699984162179
50,2,2,2,"Uniform",0,0
50,2,2,2,"Central",0.0544,0.0032075111847038
50,2,2,2,"Tail",0.0556,0.00324063697442339
50,2,2,3,"Uniform",0,0
50,2,2,3,"Central",0.0604,0.00336903072114221
50,2,2,3,"Tail",0.0524,0.00315132480077824
50,2,2,5,"Uniform",0,0
50,2,2,5,"Central",0.0662,0.00351617860752266
50,2,2,5,"Tail",0.052,0.00313993630508646
50,2,2,8,"Uniform",0,0
50,2,2,8,"Central",0.0708,0.00362732297982962
50,2,2,8,"Tail",0.0538,0.00319078548323136
50,4,0.5,1,"Uniform",0,0
50,4,0.5,1,"Central",0.049,0.00305283474822991
50,4,0.5,1,"Tail",0.0452,0.00293792307591605
50,4,0.5,2,"Uniform",0,0
50,4,0.5,2,"Central",0.0424,0.00284963997726029
50,4,0.5,2,"Tail",0.0558,0.00324611644892786
50,4,0.5,3,"Uniform",0,0
