"n","Perturbation","x0","eta","c","r","Weight","Kappa","Lambda","Empirical_Power","MCSE","Theoretical_Power","Zero_Kappa"
50,"Linear",NA,NA,0.5,1,"Uniform",4.56700082322557e-17,2.28350041161279e-17,0,0,0.0500000000000001,TRUE
50,"Linear",NA,NA,0.5,1,"Central",-1.09855274925353e-19,-5.49276374626766e-20,0.0544,0.0032075111847038,0.0500000000000001,TRUE
50,"Linear",NA,NA,0.5,1,"Tail",1.07213309997844e-16,5.36066549989218e-17,0.0418,0.00283029185774188,0.0500000000000001,TRUE
50,"Linear",NA,NA,0.5,2,"Uniform",4.56700082322557e-17,2.28350041161279e-17,0,0,0.0500000000000001,TRUE
50,"Linear",NA,NA,0.5,2,"Central",-1.09855274925353e-19,-5.49276374626766e-20,0.0492,0.00305873699425106,0.0500000000000001,TRUE
50,"Linear",NA,NA,0.5,2,"Tail",1.07213309997844e-16,5.36066549989218e-17,0.0518,0.0031342227106573,0.0500000000000001,TRUE
50,"Linear",NA,NA,0.5,3,"Uniform",4.56700082322557e-17,2.28350041161279e-17,0,0,0.0500000000000001,TRUE
50,"Linear",NA,NA,0.5,3,"Central",-1.09855274925353e-19,-5.49276374626766e-20,0.0508,0.00310545842026584,0.0500000000000001,TRUE
50,"Linear",NA,NA,0.5,3,"Tail",1.07213309997844e-16,5.36066549989218e-17,0.0496,0.00307049963361014,0.0500000000000001,TRUE
50,"Linear",NA,NA,0.5,5,"Uniform",4.56700082322557e-17,2.28350041161279e-17,0,0,0.0500000000000001,TRUE
50,"Linear",NA,NA,0.5,5,"Central",-1.09855274925353e-19,-5.49276374626766e-20,0.0496,0.00307049963361014,0.0500000000000001,TRUE
50,"Linear",NA,NA,0.5,5,"Tail",1.07213309997844e-16,5.36066549989218e-17,0.0558,0.00324611644892786,0.0500000000000001,TRUE
50,"Linear",NA,NA,0.5,8,"Uniform",4.56700082322557e-17,2.28350041161279e-17,0,0,0.0500000000000001,TRUE
50,"Linear",NA,NA,0.5,8,"Central",-1.09855274925353e-19,-5.49276374626766e-20,0.0454,0.00294410733499986,0.0500000000000001,TRUE
50,"Linear",NA,NA,0.5,8,"Tail",1.07213309997844e-16,5.36066549989218e-17,0.0536,0.00318518570887162,0.0500000000000001,TRUE
50,"Linear",NA,NA,1,1,"Uniform",4.56700082322557e-17,4.56700082322557e-17,0,0,0.0500000000000001,TRUE
50,"Linear",NA,NA,1,1,"Central",-1.09855274925353e-19,-1.09855274925353e-19,0.0486,0.0030409879973456,0.0500000000000001,TRUE
50,"Linear",NA,NA,1,1,"Tail",1.07213309997844e-16,1.07213309997844e-16,0.0492,0.00305873699425106,0.0500000000000001,TRUE
50,"Linear",NA,NA,1,2,"Uniform",4.56700082322557e-17,4.56700082322557e-17,0,0,0.0500000000000001,TRUE
50,"Linear",NA,NA,1,2,"Central",-1.09855274925353e-19,-1.09855274925353e-19,0.0434,0.00288154264240528,0.0500000000000001,TRUE
50,"Linear",NA,NA,1,2,"Tail",1.07213309997844e-16,1.07213309997844e-16,0.0454,0.00294410733499986,0.0500000000000001,TRUE
50,"Linear",NA,NA,1,3,"Uniform",4.56700082322557e-17,4.56700082322557e-17,0,0,0.0500000000000001,TRUE
50,"Linear",NA,NA,1,3,"Central",-1.09855274925353e-19,-1.09855274925353e-19,0.0502,0.00308804015517933,0.0500000000000001,TRUE
50,"Linear",NA,NA,1,3,"Tail",1.07213309997844e-16,1.07213309997844e-16,0.0602,0.00336380617753164,0.0500000000000001,TRUE
50,"Linear",NA,NA,1,5,"Uniform",4.56700082322557e-17,4.56700082322557e-17,0,0,0.0500000000000001,TRUE
50,"Linear",NA,NA,1,5,"Central",-1.09855274925353e-19,-1.09855274925353e-19,0.0412,0.00281078494374792,0.0500000000000001,TRUE
50,"Linear",NA,NA,1,5,"Tail",1.07213309997844e-16,1.07213309997844e-16,0.0574,0.0032895361375124,0.0500000000000001,TRUE
50,"Linear",NA,NA,1,8,"Uniform",4.56700082322557e-17,4.56700082322557e-17,0,0,0.0500000000000001,TRUE
50,"Linear",NA,NA,1,8,"Central",-1.09855274925353e-19,-1.09855274925353e-19,0.0386,0.00272433624943765,0.0500000000000001,TRUE
50,"Linear",NA,NA,1,8,"Tail",1.07213309997844e-16,1.07213309997844e-16,0.0526,0.00315699984162179,0.0500000000000001,TRUE
50,"Linear",NA,NA,1.5,1,"Uniform",4.56700082322557e-17,6.85050123483836e-17,0,0,0.0500000000000001,TRUE
50,"Linear",NA,NA,1.5,1,"Central",-1.09855274925353e-19,-1.6478291238803e-19,0.0444,0.00291302729132427,0.0500000000000001,TRUE
50,"Linear",NA,NA,1.5,1,"Tail",1.07213309997844e-16,1.60819964996765e-16,0.0548,0.00321860093829602,0.0500000000000001,TRUE
50,"Linear",NA,NA,1.5,2,"Uniform",4.56700082322557e-17,6.85050123483836e-17,0,0,0.0500000000000001,TRUE
50,"Linear",NA,NA,1.5,2,"Central",-1.09855274925353e-19,-1.6478291238803e-19,0.0488,0.00304691844328003,0.0500000000000001,TRUE
50,"Linear",NA,NA,1.5,2,"Tail",1.07213309997844e-16,1.60819964996765e-16,0.0516,0.00312849612433834,0.0500000000000001,TRUE
50,"Linear",NA,NA,1.5,3,"Uniform",4.56700082322557e-17,6.85050123483836e-17,0,0,0.0500000000000001,TRUE
50,"Linear",NA,NA,1.5,3,"Central",-1.09855274925353e-19,-1.6478291238803e-19,0.0438,0.00289418589589542,0.0500000000000001,TRUE
50,"Linear",NA,NA,1.5,3,"Tail",1.07213309997844e-16,1.60819964996765e-16,0.0598,0.00335332551357604,0.0500000000000001,TRUE
50,"Linear",NA,NA,1.5,5,"Uniform",4.56700082322557e-17,6.85050123483836e-17,0,0,0.0500000000000001,TRUE
50,"Linear",NA,NA,1.5,5,"Central",-1.09855274925353e-19,-1.6478291238803e-19,0.0358,0.00262748396760094,0.0500000000000001,TRUE
50,"Linear",NA,NA,1.5,5,"Tail",1.07213309997844e-16,1.60819964996765e-16,0.0634,0.00344617004803884,0.0500000000000001,TRUE
50,"Linear",NA,NA,1.5,8,"Uniform",4.56700082322557e-17,6.85050123483836e-17,0,0,0.0500000000000001,TRUE
50,"Linear",NA,NA,1.5,8,"Central",-1.09855274925353e-19,-1.6478291238803e-19,0.0422,0.00284320804725929,0.0500000000000001,TRUE
50,"Linear",NA,NA,1.5,8,"Tail",1.07213309997844e-16,1.60819964996765e-16,0.0618,0.00340531232047811,0.0500000000000001,TRUE
50,"Linear",NA,NA,2,1,"Uniform",4.56700082322557e-17,9.13400164645114e-17,0,0,0.0500000000000001,TRUE
50,"Linear",NA,NA,2,1,"Central",-1.09855274925353e-19,-2.19710549850706e-19,0.0516,0.00312849612433834,0.0500000000000001,TRUE
50,"Linear",NA,NA,2,1,"Tail",1.07213309997844e-16,2.14426619995687e-16,0.0608,0.00337944847571316,0.0500000000000001,TRUE
50,"Linear",NA,NA,2,2,"Uniform",4.56700082322557e-17,9.13400164645114e-17,0,0,0.0500000000000001,TRUE
