"n","x0","eta","c","r","Weight","Power","MCSE"
50,0.25,0.05,0.5,1,"Uniform",0,0
50,0.25,0.05,0.5,1,"Central",0.0604,0.00336903072114221
50,0.25,0.05,0.5,1,"Tail",0.0496,0.00307049963361014
50,0.25,0.05,0.5,1,"Localized",0.0414,0.00281730509529941
50,0.25,0.05,0.5,2,"Uniform",0,0
50,0.25,0.05,0.5,2,"Central",0.0476,0.00301112072159188
50,0.25,0.05,0.5,2,"Tail",0.049,0.00305283474822991
50,0.25,0.05,0.5,2,"Localized",0.0344,0.00257746542168852
50,0.25,0.05,0.5,3,"Uniform",0,0
50,0.25,0.05,0.5,3,"Central",0.0516,0.00312849612433834
50,0.25,0.05,0.5,3,"Tail",0.0498,0.00307636018697421
50,0.25,0.05,0.5,3,"Localized",0.0298,0.00240466047499434
50,0.25,0.05,0.5,5,"Uniform",0,0
50,0.25,0.05,0.5,5,"Central",0.052,0.00313993630508646
50,0.25,0.05,0.5,5,"Tail",0.0458,0.00295642892693195
50,0.25,0.05,0.5,5,"Localized",0.0404,0.00278452293939195
50,0.25,0.05,0.5,8,"Uniform",0,0
50,0.25,0.05,0.5,8,"Central",0.0556,0.00324063697442339
50,0.25,0.05,0.5,8,"Tail",0.0448,0.00292550713552369
50,0.25,0.05,0.5,8,"Localized",0.0504,0.00309385972532693
50,0.25,0.05,1,1,"Uniform",0,0
50,0.25,0.05,1,1,"Central",0.0592,0.0033375248313683
50,0.25,0.05,1,1,"Tail",0.055,0.0032241277890307
50,0.25,0.05,1,1,"Localized",0.0346,0.0025846794772273
50,0.25,0.05,1,2,"Uniform",0,0
50,0.25,0.05,1,2,"Central",0.0526,0.00315699984162179
50,0.25,0.05,1,2,"Tail",0.0522,0.00314563697841947
50,0.25,0.05,1,2,"Localized",0.0306,0.00243571919563812
50,0.25,0.05,1,3,"Uniform",0,0
50,0.25,0.05,1,3,"Central",0.0554,0.00323514574633045
50,0.25,0.05,1,3,"Tail",0.0496,0.00307049963361014
50,0.25,0.05,1,3,"Localized",0.0354,0.00261330595223751
50,0.25,0.05,1,5,"Uniform",0,0
50,0.25,0.05,1,5,"Central",0.0546,0.00321306209090332
50,0.25,0.05,1,5,"Tail",0.0454,0.00294410733499986
50,0.25,0.05,1,5,"Localized",0.0388,0.00273110087693589
50,0.25,0.05,1,8,"Uniform",0,0
50,0.25,0.05,1,8,"Central",0.0538,0.00319078548323136
50,0.25,0.05,1,8,"Tail",0.0416,0.00282380735886852
50,0.25,0.05,1,8,"Localized",0.0454,0.00294410733499986
50,0.25,0.05,1.5,1,"Uniform",0,0
50,0.25,0.05,1.5,1,"Central",0.0606,0.00337424480439698
50,0.25,0.05,1.5,1,"Tail",0.0524,0.00315132480077824
50,0.25,0.05,1.5,1,"Localized",0.025,0.00220794021658196
50,0.25,0.05,1.5,2,"Uniform",0,0
50,0.25,0.05,1.5,2,"Central",0.0596,0.00334806929438445
50,0.25,0.05,1.5,2,"Tail",0.0552,0.0032296427046966
50,0.25,0.05,1.5,2,"Localized",0.0252,0.00221652701314466
50,0.25,0.05,1.5,3,"Uniform",0,0
50,0.25,0.05,1.5,3,"Central",0.0568,0.00327333957908433
50,0.25,0.05,1.5,3,"Tail",0.0548,0.00321860093829602
50,0.25,0.05,1.5,3,"Localized",0.0326,0.00251146331846595
50,0.25,0.05,1.5,5,"Uniform",0,0
50,0.25,0.05,1.5,5,"Central",0.0628,0.00343092290790685
50,0.25,0.05,1.5,5,"Tail",0.0426,0.00285605462132642
50,0.25,0.05,1.5,5,"Localized",0.0356,0.00262040607540129
50,0.25,0.05,1.5,8,"Uniform",0,0
50,0.25,0.05,1.5,8,"Central",0.0544,0.0032075111847038
50,0.25,0.05,1.5,8,"Tail",0.0366,0.00265557677350891
50,0.25,0.05,1.5,8,"Localized",0.0428,0.00286245209566903
50,0.25,0.05,2,1,"Uniform",0,0
50,0.25,0.05,2,1,"Central",0.0616,0.00340015999623547
50,0.25,0.05,2,1,"Tail",0.0474,0.00300510365877785
50,0.25,0.05,2,1,"Localized",0.0182,0.00189043698651925
50,0.25,0.05,2,2,"Uniform",0,0
50,0.25,0.05,2,2,"Central",0.0524,0.00315132480077824
50,0.25,0.05,2,2,"Tail",0.0576,0.00329491244193226
50,0.25,0.05,2,2,"Localized",0.0212,0.00203718236787971
50,0.25,0.05,2,3,"Uniform",0,0
50,0.25,0.05,2,3,"Central",0.0644,0.00347138704266753
50,0.25,0.05,2,3,"Tail",0.0526,0.00315699984162179
50,0.25,0.05,2,3,"Localized",0.029,0.00237314137800511
50,0.25,0.05,2,5,"Uniform",0,0
50,0.25,0.05,2,5,"Central",0.0584,0.00331630637909105
50,0.25,0.05,2,5,"Tail",0.0414,0.00281730509529941
50,0.25,0.05,2,5,"Localized",0.043,0.00286883251515316
