"n","pi","mu","r","Weight","Power","MCSE"
50,0.1,0.5,1,"Uniform",0,0
50,0.1,0.5,1,"Central",0.0468,0.00298696367570816
50,0.1,0.5,1,"Tail",0.0532,0.00317394895989208
50,0.1,0.5,2,"Uniform",0,0
50,0.1,0.5,2,"Central",0.047,0.00299302522541993
50,0.1,0.5,2,"Tail",0.052,0.00313993630508646
50,0.1,0.5,3,"Uniform",0,0
50,0.1,0.5,3,"Central",0.0472,0.00299907185642492
50,0.1,0.5,3,"Tail",0.0494,0.0030646252625729
50,0.1,0.5,5,"Uniform",0,0
50,0.1,0.5,5,"Central",0.0402,0.00277791144567281
50,0.1,0.5,5,"Tail",0.0478,0.00301712313305241
50,0.1,0.5,8,"Uniform",0,0
50,0.1,0.5,8,"Central",0.0496,0.00307049963361014
50,0.1,0.5,8,"Tail",0.058,0.00330563155841664
50,0.1,1,1,"Uniform",0,0
50,0.1,1,1,"Central",0.0502,0.00308804015517933
50,0.1,1,1,"Tail",0.0538,0.00319078548323136
50,0.1,1,2,"Uniform",0,0
50,0.1,1,2,"Central",0.0354,0.00261330595223751
50,0.1,1,2,"Tail",0.0642,0.00346636293541227
50,0.1,1,3,"Uniform",0,0
50,0.1,1,3,"Central",0.0378,0.00269707841932711
50,0.1,1,3,"Tail",0.0652,0.00349138826256834
50,0.1,1,5,"Uniform",0,0
50,0.1,1,5,"Central",0.0358,0.00262748396760094
50,0.1,1,5,"Tail",0.0696,0.00359877312427444
50,0.1,1,8,"Uniform",0,0
50,0.1,1,8,"Central",0.0412,0.00281078494374792
50,0.1,1,8,"Tail",0.092,0.00408744418922143
50,0.1,1.5,1,"Uniform",0,0
50,0.1,1.5,1,"Central",0.0474,0.00300510365877785
50,0.1,1.5,1,"Tail",0.0618,0.00340531232047811
50,0.1,1.5,2,"Uniform",0,0
50,0.1,1.5,2,"Central",0.0344,0.00257746542168852
50,0.1,1.5,2,"Tail",0.093,0.00410733490234239
50,0.1,1.5,3,"Uniform",0,0
50,0.1,1.5,3,"Central",0.0354,0.00261330595223751
50,0.1,1.5,3,"Tail",0.0982,0.00420848571341284
50,0.1,1.5,5,"Uniform",0,0
50,0.1,1.5,5,"Central",0.0286,0.0023572034277932
50,0.1,1.5,5,"Tail",0.1298,0.0047529350931819
50,0.1,1.5,8,"Uniform",0,0
50,0.1,1.5,8,"Central",0.0326,0.00251146331846595
50,0.1,1.5,8,"Tail",0.1402,0.0049100704679261
50,0.2,0.5,1,"Uniform",0,0
50,0.2,0.5,1,"Central",0.0514,0.00312275647465504
50,0.2,0.5,1,"Tail",0.0564,0.00326248494249399
50,0.2,0.5,2,"Uniform",0,0
50,0.2,0.5,2,"Central",0.0412,0.00281078494374792
50,0.2,0.5,2,"Tail",0.0634,0.00344617004803884
50,0.2,0.5,3,"Uniform",0,0
50,0.2,0.5,3,"Central",0.0434,0.00288154264240528
50,0.2,0.5,3,"Tail",0.0626,0.00342582077756557
50,0.2,0.5,5,"Uniform",0,0
50,0.2,0.5,5,"Central",0.0328,0.00251889499582654
50,0.2,0.5,5,"Tail",0.073,0.00367888570086106
50,0.2,0.5,8,"Uniform",0,0
50,0.2,0.5,8,"Central",0.0508,0.00310545842026584
50,0.2,0.5,8,"Tail",0.0718,0.00365088372863338
50,0.2,1,1,"Uniform",0,0
50,0.2,1,1,"Central",0.0472,0.00299907185642492
50,0.2,1,1,"Tail",0.0612,0.00338982477423244
50,0.2,1,2,"Uniform",0,0
50,0.2,1,2,"Central",0.0328,0.00251889499582654
50,0.2,1,2,"Tail",0.0938,0.00412314346100157
50,0.2,1,3,"Uniform",0,0
50,0.2,1,3,"Central",0.029,0.00237314137800511
50,0.2,1,3,"Tail",0.118,0.00456236780630409
50,0.2,1,5,"Uniform",0,0
50,0.2,1,5,"Central",0.0254,0.00222507707731665
50,0.2,1,5,"Tail",0.138,0.00487762237160689
50,0.2,1,8,"Uniform",0,0
50,0.2,1,8,"Central",0.0248,0.00219931625738546
50,0.2,1,8,"Tail",0.1608,0.00519506227104161
50,0.2,1.5,1,"Uniform",0,0
50,0.2,1.5,1,"Central",0.0332,0.0025336834845734
50,0.2,1.5,1,"Tail",0.0748,0.00372034837078465
50,0.2,1.5,2,"Uniform",0,0
50,0.2,1.5,2,"Central",0.021,0.002027757381937
50,0.2,1.5,2,"Tail",0.16,0.00518459255872629
50,0.2,1.5,3,"Uniform",0,0
50,0.2,1.5,3,"Central",0.0178,0.00186992834087299
50,0.2,1.5,3,"Tail",0.2128,0.00578819764693639
50,0.2,1.5,5,"Uniform",0,0
50,0.2,1.5,5,"Central",0.0114,0.00150133540556399
50,0.2,1.5,5,"Tail",0.2986,0.006472063658525
50,0.2,1.5,8,"Uniform",0,0
50,0.2,1.5,8,"Central",0.015,0.00171901134376711
50,0.2,1.5,8,"Tail",0.329,0.00664468208419334
50,0.3,0.5,1,"Uniform",0,0
50,0.3,0.5,1,"Central",0.0488,0.00304691844328003
50,0.3,0.5,1,"Tail",0.0622,0.00341558662604244
50,0.3,0.5,2,"Uniform",0,0
50,0.3,0.5,2,"Central",0.0378,0.00269707841932711
50,0.3,0.5,2,"Tail",0.0716,0.00364618814654428
50,0.3,0.5,3,"Uniform",0,0
50,0.3,0.5,3,"Central",0.0374,0.00268332778467335
50,0.3,0.5,3,"Tail",0.0704,0.00361784023970103
50,0.3,0.5,5,"Uniform",0,0
50,0.3,0.5,5,"Central",0.0336,0.00254837359898426
50,0.3,0.5,5,"Tail",0.0852,0.0039481884453506
50,0.3,0.5,8,"Uniform",0,0
50,0.3,0.5,8,"Central",0.0366,0.00265557677350891
50,0.3,0.5,8,"Tail",0.0988,0.00421991848262499
50,0.3,1,1,"Uniform",0,0
50,0.3,1,1,"Central",0.0434,0.00288154264240528
50,0.3,1,1,"Tail",0.071,0.00363205176174569
50,0.3,1,2,"Uniform",0,0
50,0.3,1,2,"Central",0.025,0.00220794021658196
50,0.3,1,2,"Tail",0.1242,0.004664211830524
50,0.3,1,3,"Uniform",0,0
50,0.3,1,3,"Central",0.019,0.00193075114916449
50,0.3,1,3,"Tail",0.1618,0.00520808525275845
50,0.3,1,5,"Uniform",0,0
50,0.3,1,5,"Central",0.0184,0.00190060200989055
50,0.3,1,5,"Tail",0.221,0.00586786162072692
50,0.3,1,8,"Uniform",0,0
50,0.3,1,8,"Central",0.015,0.00171901134376711
50,0.3,1,8,"Tail",0.264,0.00623384311640901
50,0.3,1.5,1,"Uniform",0,0
50,0.3,1.5,1,"Central",0.0318,0.00248148181536758
50,0.3,1.5,1,"Tail",0.104,0.00431703602023425
50,0.3,1.5,2,"Uniform",0,0
50,0.3,1.5,2,"Central",0.0078,0.00124411896537268
50,0.3,1.5,2,"Tail",0.244,0.00607394435272501
50,0.3,1.5,3,"Uniform",0,0
50,0.3,1.5,3,"Central",0.0082,0.00127536347760158
50,0.3,1.5,3,"Tail",0.3334,0.00666699992500375
50,0.3,1.5,5,"Uniform",0,0
50,0.3,1.5,5,"Central",0.0024,0.000691988439209789
50,0.3,1.5,5,"Tail",0.4614,0.00704996510629663
50,0.3,1.5,8,"Uniform",0,0
50,0.3,1.5,8,"Central",0.0046,0.000956957679315026
50,0.3,1.5,8,"Tail",0.5308,0.00705763926536345
100,0.1,0.5,1,"Uniform",0,0
100,0.1,0.5,1,"Central",0.0496,0.00307049963361014
100,0.1,0.5,1,"Tail",0.0502,0.00308804015517933
