"n","x0","delta","r","Weight","Power","MCSE"
50,0.25,0.05,1,"Uniform",0,0
50,0.25,0.05,1,"Central",0.0564,0.00326248494249399
50,0.25,0.05,1,"Tail",0.0438,0.00289418589589542
50,0.25,0.05,2,"Uniform",0,0
50,0.25,0.05,2,"Central",0.0538,0.00319078548323136
50,0.25,0.05,2,"Tail",0.0516,0.00312849612433834
50,0.25,0.05,3,"Uniform",0,0
50,0.25,0.05,3,"Central",0.0456,0.00295027591929975
50,0.25,0.05,3,"Tail",0.0494,0.0030646252625729
50,0.25,0.05,5,"Uniform",0,0
50,0.25,0.05,5,"Central",0.048,0.00302311098043059
50,0.25,0.05,5,"Tail",0.0498,0.00307636018697421
50,0.25,0.05,8,"Uniform",0,0
50,0.25,0.05,8,"Central",0.0492,0.00305873699425106
50,0.25,0.05,8,"Tail",0.0582,0.003310974478911
50,0.25,0.1,1,"Uniform",0,0
50,0.25,0.1,1,"Central",0.0566,0.00326791799162709
50,0.25,0.1,1,"Tail",0.0424,0.00284963997726029
50,0.25,0.1,2,"Uniform",0,0
50,0.25,0.1,2,"Central",0.055,0.0032241277890307
50,0.25,0.1,2,"Tail",0.0456,0.00295027591929975
50,0.25,0.1,3,"Uniform",0,0
50,0.25,0.1,3,"Central",0.0448,0.00292550713552369
50,0.25,0.1,3,"Tail",0.052,0.00313993630508646
50,0.25,0.1,5,"Uniform",0,0
50,0.25,0.1,5,"Central",0.0522,0.00314563697841947
50,0.25,0.1,5,"Tail",0.0476,0.00301112072159188
50,0.25,0.1,8,"Uniform",0,0
50,0.25,0.1,8,"Central",0.0422,0.00284320804725929
50,0.25,0.1,8,"Tail",0.0652,0.00349138826256834
50,0.25,0.2,1,"Uniform",0,0
50,0.25,0.2,1,"Central",0.067,0.00353584501922808
50,0.25,0.2,1,"Tail",0.0374,0.00268332778467335
50,0.25,0.2,2,"Uniform",0,0
50,0.25,0.2,2,"Central",0.0544,0.0032075111847038
50,0.25,0.2,2,"Tail",0.0486,0.0030409879973456
50,0.25,0.2,3,"Uniform",0,0
50,0.25,0.2,3,"Central",0.0476,0.00301112072159188
50,0.25,0.2,3,"Tail",0.0524,0.00315132480077824
50,0.25,0.2,5,"Uniform",0,0
50,0.25,0.2,5,"Central",0.0492,0.00305873699425106
50,0.25,0.2,5,"Tail",0.0498,0.00307636018697421
50,0.25,0.2,8,"Uniform",0,0
50,0.25,0.2,8,"Central",0.043,0.00286883251515316
50,0.25,0.2,8,"Tail",0.0776,0.00378360251612137
50,0.25,0.4,1,"Uniform",0,0
50,0.25,0.4,1,"Central",0.0764,0.00375667512569293
50,0.25,0.4,1,"Tail",0.0318,0.00248148181536758
50,0.25,0.4,2,"Uniform",0,0
50,0.25,0.4,2,"Central",0.0626,0.00342582077756557
50,0.25,0.4,2,"Tail",0.0458,0.00295642892693195
50,0.25,0.4,3,"Uniform",0,0
50,0.25,0.4,3,"Central",0.0468,0.00298696367570816
50,0.25,0.4,3,"Tail",0.0592,0.0033375248313683
50,0.25,0.4,5,"Uniform",0,0
50,0.25,0.4,5,"Central",0.0396,0.00275796446677618
50,0.25,0.4,5,"Tail",0.0718,0.00365088372863338
